id,category,amount
0,Electronics,100
1,Clothing,50
2,Home,200
3,Electronics,20
4,Clothing,100
5,Home,50
6,Electronics,200
7,Clothing,20
8,Home,100
9,Electronics,50
10,Clothing,200
11,Home,20
12,Electronics,100
13,Clothing,50
14,Home,200
15,Electronics,20
16,Clothing,100
17,Home,50
18,Electronics,200
19,Clothing,20
20,Home,100
21,Electronics,50
22,Clothing,200
23,Home,20
24,Electronics,100
25,Clothing,50
26,Home,200
27,Electronics,20
28,Clothing,100
29,Home,50
30,Electronics,200
31,Clothing,20
32,Home,100
33,Electronics,50
34,Clothing,200
35,Home,20
36,Electronics,100
37,Clothing,50
38,Home,200
39,Electronics,20
40,Clothing,100
41,Home,50
42,Electronics,200
43,Clothing,20
44,Home,100
45,Electronics,50
46,Clothing,200
47,Home,20
48,Electronics,100
49,Clothing,50
50,Home,200
51,Electronics,20
52,Clothing,100
53,Home,50
54,Electronics,200
55,Clothing,20
56,Home,100
57,Electronics,50
58,Clothing,200
59,Home,20
60,Electronics,100
61,Clothing,50
62,Home,200
63,Electronics,20
64,Clothing,100
65,Home,50
66,Electronics,200
67,Clothing,20
68,Home,100
69,Electronics,50
70,Clothing,200
71,Home,20
72,Electronics,100
73,Clothing,50
74,Home,200
75,Electronics,20
76,Clothing,100
77,Home,50
78,Electronics,200
79,Clothing,20
80,Home,100
81,Electronics,50
82,Clothing,200
83,Home,20
84,Electronics,100
85,Clothing,50
86,Home,200
87,Electronics,20
88,Clothing,100
89,Home,50
90,Electronics,200
91,Clothing,20
92,Home,100
93,Electronics,50
94,Clothing,200
95,Home,20
96,Electronics,100
97,Clothing,50
98,Home,200
99,Electronics,20
100,Clothing,100
101,Home,50
102,Electronics,200
103,Clothing,20
104,Home,100
105,Electronics,50
106,Clothing,200
107,Home,20
108,Electronics,100
109,Clothing,50
110,Home,200
111,Electronics,20
112,Clothing,100
113,Home,50
114,Electronics,200
115,Clothing,20
116,Home,100
117,Electronics,50
118,Clothing,200
119,Home,20
120,Electronics,100
121,Clothing,50
122,Home,200
123,Electronics,20
124,Clothing,100
125,Home,50
126,Electronics,200
127,Clothing,20
128,Home,100
129,Electronics,50
130,Clothing,200
131,Home,20
132,Electronics,100
133,Clothing,50
134,Home,200
135,Electronics,20
136,Clothing,100
137,Home,50
138,Electronics,200
139,Clothing,20
140,Home,100
141,Electronics,50
142,Clothing,200
143,Home,20
144,Electronics,100
145,Clothing,50
146,Home,200
147,Electronics,20
148,Clothing,100
149,Home,50
150,Electronics,200
151,Clothing,20
152,Home,100
153,Electronics,50
154,Clothing,200
155,Home,20
156,Electronics,100
157,Clothing,50
158,Home,200
159,Electronics,20
160,Clothing,100
161,Home,50
162,Electronics,200
163,Clothing,20
164,Home,100
165,Electronics,50
166,Clothing,200
167,Home,20
168,Electronics,100
169,Clothing,50
170,Home,200
171,Electronics,20
172,Clothing,100
173,Home,50
174,Electronics,200
175,Clothing,20
176,Home,100
177,Electronics,50
178,Clothing,200
179,Home,20
180,Electronics,100
181,Clothing,50
182,Home,200
183,Electronics,20
184,Clothing,100
185,Home,50
186,Electronics,200
187,Clothing,20
188,Home,100
189,Electronics,50
190,Clothing,200
191,Home,20
192,Electronics,100
193,Clothing,50
194,Home,200
195,Electronics,20
196,Clothing,100
197,Home,50
198,Electronics,200
199,Clothing,20
200,Home,100
201,Electronics,50
202,Clothing,200
203,Home,20
204,Electronics,100
205,Clothing,50
206,Home,200
207,Electronics,20
208,Clothing,100
209,Home,50
210,Electronics,200
211,Clothing,20
212,Home,100
213,Electronics,50
214,Clothing,200
215,Home,20
216,Electronics,100
217,Clothing,50
218,Home,200
219,Electronics,20
220,Clothing,100
221,Home,50
222,Electronics,200
223,Clothing,20
224,Home,100
225,Electronics,50
226,Clothing,200
227,Home,20
228,Electronics,100
229,Clothing,50
230,Home,200
231,Electronics,20
232,Clothing,100
233,Home,50
234,Electronics,200
235,Clothing,20
236,Home,100
237,Electronics,50
238,Clothing,200
239,Home,20
240,Electronics,100
241,Clothing,50
242,Home,200
243,Electronics,20
244,Clothing,100
245,Home,50
246,Electronics,200
247,Clothing,20
248,Home,100
249,Electronics,50
250,Clothing,200
251,Home,20
252,Electronics,100
253,Clothing,50
254,Home,200
255,Electronics,20
256,Clothing,100
257,Home,50
258,Electronics,200
259,Clothing,20
260,Home,100
261,Electronics,50
262,Clothing,200
263,Home,20
264,Electronics,100
265,Clothing,50
266,Home,200
267,Electronics,20
268,Clothing,100
269,Home,50
270,Electronics,200
271,Clothing,20
272,Home,100
273,Electronics,50
274,Clothing,200
275,Home,20
276,Electronics,100
277,Clothing,50
278,Home,200
279,Electronics,20
280,Clothing,100
281,Home,50
282,Electronics,200
283,Clothing,20
284,Home,100
285,Electronics,50
286,Clothing,200
287,Home,20
288,Electronics,100
289,Clothing,50
290,Home,200
291,Electronics,20
292,Clothing,100
293,Home,50
294,Electronics,200
295,Clothing,20
296,Home,100
297,Electronics,50
298,Clothing,200
299,Home,20
300,Electronics,100
301,Clothing,50
302,Home,200
303,Electronics,20
304,Clothing,100
305,Home,50
306,Electronics,200
307,Clothing,20
308,Home,100
309,Electronics,50
310,Clothing,200
311,Home,20
312,Electronics,100
313,Clothing,50
314,Home,200
315,Electronics,20
316,Clothing,100
317,Home,50
318,Electronics,200
319,Clothing,20
320,Home,100
321,Electronics,50
322,Clothing,200
323,Home,20
324,Electronics,100
325,Clothing,50
326,Home,200
327,Electronics,20
328,Clothing,100
329,Home,50
330,Electronics,200
331,Clothing,20
332,Home,100
333,Electronics,50
334,Clothing,200
335,Home,20
336,Electronics,100
337,Clothing,50
338,Home,200
339,Electronics,20
340,Clothing,100
341,Home,50
342,Electronics,200
343,Clothing,20
344,Home,100
345,Electronics,50
346,Clothing,200
347,Home,20
348,Electronics,100
349,Clothing,50
350,Home,200
351,Electronics,20
352,Clothing,100
353,Home,50
354,Electronics,200
355,Clothing,20
356,Home,100
357,Electronics,50
358,Clothing,200
359,Home,20
360,Electronics,100
361,Clothing,50
362,Home,200
363,Electronics,20
364,Clothing,100
365,Home,50
366,Electronics,200
367,Clothing,20
368,Home,100
369,Electronics,50
370,Clothing,200
371,Home,20
372,Electronics,100
373,Clothing,50
374,Home,200
375,Electronics,20
376,Clothing,100
377,Home,50
378,Electronics,200
379,Clothing,20
380,Home,100
381,Electronics,50
382,Clothing,200
383,Home,20
384,Electronics,100
385,Clothing,50
386,Home,200
387,Electronics,20
388,Clothing,100
389,Home,50
390,Electronics,200
391,Clothing,20
392,Home,100
393,Electronics,50
394,Clothing,200
395,Home,20
396,Electronics,100
397,Clothing,50
398,Home,200
399,Electronics,20
400,Clothing,100
401,Home,50
402,Electronics,200
403,Clothing,20
404,Home,100
405,Electronics,50
406,Clothing,200
407,Home,20
408,Electronics,100
409,Clothing,50
410,Home,200
411,Electronics,20
412,Clothing,100
413,Home,50
414,Electronics,200
415,Clothing,20
416,Home,100
417,Electronics,50
418,Clothing,200
419,Home,20
420,Electronics,100
421,Clothing,50
422,Home,200
423,Electronics,20
424,Clothing,100
425,Home,50
426,Electronics,200
427,Clothing,20
428,Home,100
429,Electronics,50
430,Clothing,200
431,Home,20
432,Electronics,100
433,Clothing,50
434,Home,200
435,Electronics,20
436,Clothing,100
437,Home,50
438,Electronics,200
439,Clothing,20
440,Home,100
441,Electronics,50
